hub,keyword,old_priority_score,new_priority_score,trends_volume_index_5y,serp_competition_score_0_100,strong_domain_share,vertical_competitor_share
calculators,aflossing lening berekenen excel,1,1,0.0,30.0,0.0,0.0
calculators,aflossingstabel lening berekenen excel,1,1,0.38,30.0,0.0,0.0
calculators,annuïtaire lening berekenen excel,1,1,0.38,38.0,0.111,0.0
calculators,bank lening calculator,1,1,0.38,58.0,0.4,0.0
calculators,belfius lening calculator,1,1,0.38,30.0,0.0,0.0
calculators,berekenen lening op afbetaling,1,1,0.0,51.0,0.3,0.0
calculators,berekenen van lening,1,1,0.0,58.0,0.4,0.0
calculators,btw berekenen 9,1,1,0.45,40.0,0.15,0.0
calculators,btw berekenen formule,1,1,6.09,50.0,0.3,0.0
calculators,btw bereken,1,2,44.28,50.0,0.286,0.0
calculators,btw berekenen,1,2,66.11,50.0,0.286,0.0
calculators,btw calculator,1,1,10.36,37.0,0.1,0.0
rente,actuele rente rekening courant krediet,0,0,0.75,72.0,0.6,0.0
rente,actuele rente zakelijke lening,0,0,0.0,82.0,0.6,0.2
rente,actuele rente zakelijke lening rabobank,0,0,0.0,100.0,1.0,0.0
rente,zakelijke lening rente,0,0,7.15,78.0,0.4,0.4
btw,aangifte omzetbelasting wat is dat,1,1,0.38,58.0,0.4,0.0
btw,btw hoe werkt het,0,0,0.79,61.0,0.444,0.0
btw,btw verlegd wanneer,1,1,2.11,52.0,0.333,0.0
btw,btw wanneer 9 of 21,1,1,0.0,58.0,0.4,0.0
btw,btw wanneer betalen,0,1,4.16,65.0,0.5,0.0
btw,btw wanneer ingevoerd,1,1,0.95,30.0,0.0,0.0
btw,btw wat betekent dat,1,1,0.38,46.0,0.222,0.0
btw,btw wat is dat,1,1,1.19,44.0,0.2,0.0
btw,btw welke maanden,1,1,0.38,51.0,0.3,0.0
btw,aangifte omzetbelasting q2,0,0,0.0,69.0,0.556,0.0
btw,aangifte omzetbelasting q3,1,1,1.41,58.0,0.4,0.0
btw,aangifte omzetbelasting q4 2024,0,0,0.67,70.0,0.5,0.1
btw,bijtelling omzetbelasting youngtimer,1,1,0.0,44.0,0.2,0.0
btw,btw aangifte 2025,0,0,4.02,72.0,0.6,0.0
btw,btw aangifte 2e kwartaal 2025,0,0,1.54,65.0,0.5,0.0
btw,btw aangifte belastingdienst,0,1,20.09,88.0,0.833,0.0
btw,btw aangifte data,0,0,0.47,77.0,0.6,0.1
btw,btw aangifte doen,0,1,22.27,65.0,0.5,0.0
btw,btw aangifte ondernemers,0,1,13.77,84.0,0.778,0.0
btw,btw auto kopen,1,1,3.63,44.0,0.2,0.0
btw,btw buitenland terugvragen,1,1,1.13,51.0,0.3,0.0
btw,btw check nederland,0,0,0.38,71.0,0.6,0.0
btw,btw compensatie huur,1,1,0.38,37.0,0.1,0.0
btw,btw correctie auto,1,1,3.99,44.0,0.2,0.0
btw,btw correctie youngtimer,1,1,0.0,37.0,0.1,0.0
btw,btw dagen mediamarkt,1,1,4.61,30.0,0.0,0.0
btw,btw diensten binnen eu,0,0,0.64,65.0,0.5,0.0
btw,btw diensten buiten eu,0,0,1.17,64.0,0.5,0.0
btw,btw duitsland 2025,1,1,1.3,44.0,0.2,0.0
btw,btw duitsland terugvragen,1,1,1.4,51.0,0.3,0.0
btw,btw energie 2025,1,1,0.38,51.0,0.3,0.0
btw,btw erbij rekenen,1,1,1.11,44.0,0.2,0.0
btw,btw eruit halen,1,1,0.38,37.0,0.1,0.0
btw,btw eten en drinken,1,1,2.25,44.0,0.2,0.0
btw,btw eu landen,1,1,1.7,58.0,0.4,0.0
btw,btw eu terugvragen,1,1,1.32,51.0,0.3,0.0
btw,btw fiets van de zaak,1,1,0.74,51.0,0.3,0.0
btw,btw fix dropshipping,1,1,0.38,30.0,0.0,0.0
btw,btw garage reparatie,1,1,0.72,44.0,0.2,0.0
btw,btw glas vervangen,1,1,0.38,44.0,0.2,0.0
btw,btw gras op stam,1,1,0.0,44.0,0.2,0.0
btw,btw groente en fruit,1,1,1.95,44.0,0.2,0.0
btw,btw groente en fruit 2025,1,1,0.38,37.0,0.1,0.0
btw,btw hoeveel procent,1,1,19.38,51.0,0.3,0.0
