keyword,trends_volume_index_12m,serp_competition_score_0_100,strong_domain_share,vertical_competitor_share
zakelijke lening,0.0,78,0.4,0.4
zakelijke lening rente,0.0,78,0.4,0.4
kredietlijn,0.0,35,0.0,0.1
werkkapitaal,0.0,67,0.444,0.111
btw berekenen,0.0,50,0.286,0.0
actuele rente zakelijke lening,0.0,82,0.6,0.2
actuele rente zakelijke lening rabobank,0.0,100,1.0,0.0
beobank kredietlijn verhogen,0.0,30,0.0,0.0
blue water factoring,0.0,30,0.0,0.0
blue water factoring company,0.0,30,0.0,0.0
btw aangifte,0.0,77,0.667,0.0
btw aangifte 2025,0.0,72,0.6,0.0
btw aangifte 2e kwartaal 2025,0.0,65,0.5,0.0
btw aangifte belastingdienst,0.0,88,0.833,0.0
btw aangifte data,0.0,77,0.6,0.1
btw aangifte doen,0.0,65,0.5,0.0
btw aangifte ondernemers,0.0,84,0.778,0.0
btw afkorting,0.0,40,0.15,0.0
btw auto,0.0,44,0.2,0.0
btw auto kopen,0.0,44,0.2,0.0
btw belasting,0.0,74,0.625,0.0
btw belgie,0.0,46,0.25,0.0
btw bereken,0.0,50,0.286,0.0
btw berekenen 9,0.0,40,0.15,0.0
btw berekenen formule,0.0,50,0.3,0.0
btw betalen,0.0,65,0.5,0.0
btw betekenis,0.0,40,0.15,0.0
btw boeken,0.0,44,0.2,0.0
btw buitenland terugvragen,0.0,51,0.3,0.0
btw calculator,0.0,37,0.1,0.0
btw carrouselfraude,0.0,44,0.222,0.0
btw centrale,0.0,38,0.111,0.0
btw check,0.0,64,0.5,0.0
btw check nederland,0.0,71,0.6,0.0
btw code,0.0,69,0.556,0.0
btw compensatie huur,0.0,37,0.1,0.0
btw compensatiefonds,0.0,37,0.105,0.0
btw correctie auto,0.0,44,0.2,0.0
btw correctie youngtimer,0.0,37,0.1,0.0
btw hoe werkt het,0.0,61,0.444,0.0
btw hoedanigheid,0.0,44,0.2,0.0
btw hoefsmid,0.0,37,0.1,0.0
btw hoeveel procent,0.0,51,0.3,0.0
btw nummer,0.0,72,0.6,0.0
btw nummer controleren,0.0,68,0.55,0.0
btw nummer opzoeken,0.0,72,0.6,0.0
btw verlegd,0.0,52,0.333,0.0
btw vies check,0.0,57,0.4,0.0
btw wat betekent dat,0.0,46,0.222,0.0
btw wat is dat,0.0,44,0.2,0.0
btw water,0.0,44,0.2,0.0
btw water 2025,0.0,44,0.2,0.0
btw water belgie,0.0,36,0.1,0.0
btw water softener,0.0,38,0.111,0.0
aangifte omzetbelasting q2,0.0,69,0.556,0.0
aangifte omzetbelasting q3,0.0,58,0.4,0.0
aangifte omzetbelasting q4 2024,0.0,70,0.5,0.1
aangifte omzetbelasting wat is dat,0.0,58,0.4,0.0
abn amro doorlopend krediet zakelijk,0.0,93,0.9,0.0
abn amro zakelijk doorlopend krediet,0.0,93,0.9,0.0
abn factuur verkopen,0.0,46,0.222,0.0
abn zakelijk doorlopend krediet,0.0,65,0.5,0.0
actuele rente rekening courant krediet,0.0,72,0.6,0.0
aflossing lening berekenen excel,0.0,30,0.0,0.0
aflossingstabel lening berekenen excel,0.0,30,0.0,0.0
aif lage liquiditeit,0.0,30,0.0,0.0
annuïtaire lening berekenen excel,0.0,38,0.111,0.0
auto verkopen factuur maken,0.0,30,0.0,0.0
auto verkopen factuur voorbeeld,0.0,30,0.0,0.0
bank lening calculator,0.0,58,0.4,0.0
belfius lening calculator,0.0,30,0.0,0.0
bereidstellingsprovisie rekening courant krediet,0.0,72,0.6,0.0
berekenen lening op afbetaling,0.0,51,0.3,0.0
berekenen van lening,0.0,58,0.4,0.0
bijtelling omzetbelasting youngtimer,0.0,44,0.2,0.0
bkr inlog zakelijk,0.0,44,0.2,0.0
bkr registratie telefoon zakelijk,0.0,30,0.0,0.0
bkr registratie zakelijk,0.0,47,0.1,0.2
bkr registratie zakelijk krediet,0.0,52,0.1,0.3
bkr zakelijk,0.0,35,0.0,0.1
bkr zakelijk bellen,0.0,37,0.1,0.0
bkr zakelijk contact,0.0,37,0.1,0.0
bkr zakelijk inloggen,0.0,49,0.2,0.1
bkr zakelijk inzien,0.0,30,0.0,0.0
bkr zakelijk krediet,0.0,47,0.1,0.2
bkr zakelijk opvragen,0.0,30,0.0,0.0
bkr zakelijk portaal,0.0,30,0.0,0.0
bkr zakelijk portaal inloggen,0.0,30,0.0,0.0
bkr zakelijk telefoonnummer,0.0,30,0.0,0.0
bkr zakelijke lease,0.0,37,0.1,0.0
bkr zakelijke lening,0.0,52,0.1,0.3
bmw x1,0.0,30,0.0,0.0
bmw x2,0.0,30,0.0,0.0
bmw x3,0.0,30,0.0,0.0
bmw x3 hybride,0.0,30,0.0,0.0
bmw x4,0.0,30,0.0,0.0
bmw x5,0.0,30,0.0,0.0
bmw x5 m,0.0,30,0.0,0.0
bmw x6,0.0,30,0.0,0.0
bmw x7,0.0,30,0.0,0.0
bmw xm,0.0,30,0.0,0.0
btw,0.0,56,0.375,0.0
btw dagen mediamarkt,0.0,30,0.0,0.0
btw denemarken,0.0,51,0.3,0.0
btw diensten,0.0,65,0.5,0.0
btw diensten binnen eu,0.0,65,0.5,0.0
btw diensten buiten eu,0.0,64,0.5,0.0
btw drank,0.0,51,0.3,0.0
btw duits,0.0,30,0.0,0.0
btw duitsland,0.0,50,0.3,0.0
btw duitsland 2025,0.0,44,0.2,0.0
btw duitsland terugvragen,0.0,51,0.3,0.0
btw energie,0.0,44,0.2,0.0
btw energie 2025,0.0,51,0.3,0.0
btw engeland,0.0,51,0.3,0.0
btw engels,0.0,30,0.0,0.0
btw erbij rekenen,0.0,44,0.2,0.0
btw eruit halen,0.0,37,0.1,0.0
btw eten,0.0,44,0.2,0.0
btw eten en drinken,0.0,44,0.2,0.0
btw eu landen,0.0,58,0.4,0.0
btw eu terugvragen,0.0,51,0.3,0.0
btw factuur,0.0,53,0.333,0.0
btw factuur aliexpress,0.0,30,0.0,0.0
btw fiets van de zaak,0.0,51,0.3,0.0
btw finland,0.0,44,0.2,0.0
btw fix dropshipping,0.0,30,0.0,0.0
btw food,0.0,44,0.2,0.0
btw formulier,0.0,53,0.333,0.0
btw fotograaf,0.0,44,0.2,0.0
btw frankrijk,0.0,44,0.2,0.0
btw frisdrank,0.0,51,0.3,0.0
btw garage,0.0,44,0.2,0.0
btw garage reparatie,0.0,44,0.2,0.0
btw gemeenten,0.0,37,0.1,0.0
btw glas vervangen,0.0,44,0.2,0.0
btw glaszetten,0.0,44,0.2,0.0
btw glazenwasser,0.0,44,0.2,0.0
btw gras op stam,0.0,44,0.2,0.0
btw griekenland,0.0,44,0.2,0.0
btw groente en fruit,0.0,44,0.2,0.0
btw groente en fruit 2025,0.0,37,0.1,0.0
btw hagra,0.0,30,0.0,0.0
btw hoofdletters,0.0,30,0.0,0.0
btw hoog,0.0,46,0.222,0.0
btw hoog tarief,0.0,51,0.3,0.0
btw hoog tarief 2025,0.0,51,0.3,0.0
btw horeca,0.0,46,0.222,0.0
btw horeca 2025,0.0,44,0.2,0.0
btw hotelovernachting,0.0,51,0.3,0.0
btw hotelovernachting 2025,0.0,44,0.2,0.0
btw hotelovernachting buitenland,0.0,44,0.2,0.0
btw id aanvragen young ones,0.0,37,0.1,0.0
btw id checken,0.0,71,0.6,0.0
btw id opzeggen,0.0,51,0.3,0.0
btw identificatienummer,0.0,65,0.5,0.0
btw ierland,0.0,58,0.4,0.0
btw in belgium,0.0,43,0.2,0.0
btw in duitsland,0.0,37,0.1,0.0
btw in engels,0.0,30,0.0,0.0
btw in het engels,0.0,30,0.0,0.0
btw italie,0.0,37,0.1,0.0
btw jaaraangifte,0.0,58,0.4,0.0
btw jaarplaats camping,0.0,37,0.1,0.0
btw jachthaven,0.0,44,0.2,0.0
btw januari 2026,0.0,44,0.2,0.0
btw japan,0.0,51,0.3,0.0
btw jeugdzorg,0.0,44,0.2,0.0
btw journalistiek,0.0,51,0.3,0.0
btw juridische kosten,0.0,44,0.2,0.0
btw jurisprudentie,0.0,30,0.0,0.0
btw kapper,0.0,44,0.2,0.0
btw kleding,0.0,51,0.3,0.0
btw koffie,0.0,44,0.2,0.0
btw kor,0.0,60,0.429,0.0
btw kranten,0.0,46,0.222,0.0
btw kunst,0.0,44,0.2,0.0
btw kwartaalaangifte,0.0,64,0.5,0.0
btw kwartalen,0.0,58,0.4,0.0
btw kwartalen 2025,0.0,58,0.4,0.0
btw laag sligro,0.0,46,0.222,0.0
btw laag tarief,0.0,51,0.3,0.0
btw laag tarief 2025,0.0,51,0.3,0.0
btw laag tarief sligro,0.0,46,0.222,0.0
btw landen eu,0.0,58,0.4,0.0
btw litouwen,0.0,51,0.3,0.0
btw logies,0.0,44,0.2,0.0
btw logies 2026,0.0,37,0.1,0.0
btw loodgieter,0.0,44,0.2,0.0
btw luxemburg,0.0,50,0.3,0.0
btw maanden,0.0,51,0.3,0.0
btw makelaar,0.0,37,0.1,0.0
btw marge auto,0.0,46,0.222,0.0
btw margeregeling,0.0,38,0.111,0.0
btw meaning,0.0,30,0.0,0.0
btw medicijnen,0.0,44,0.2,0.0
btw met hoofdletters,0.0,30,0.0,0.0
btw met of zonder hoofdletters,0.0,30,0.0,0.0
btw motor,0.0,30,0.0,0.0
btw muziekles volwassenen,0.0,44,0.2,0.0
btw nederland,0.0,51,0.3,0.0
btw nr opzoeken,0.0,65,0.5,0.0
btw nummer aanvragen,0.0,58,0.4,0.0
btw nummer checken,0.0,71,0.6,0.0
btw nummer opvragen,0.0,58,0.4,0.0
btw nummer opzeggen,0.0,51,0.3,0.0
btw nummer zoeken,0.0,72,0.6,0.0
btw of marge auto,0.0,37,0.1,0.0
btw omzetbelasting,0.0,77,0.667,0.0
btw ondernemers,0.0,69,0.556,0.0
btw op alcohol,0.0,44,0.2,0.0
btw op boeken,0.0,44,0.2,0.0
btw op eten,0.0,44,0.2,0.0
btw op hotelovernachting,0.0,37,0.1,0.0
btw op schilderwerk,0.0,44,0.2,0.0
btw over reiskosten,0.0,37,0.1,0.0
btw parkeerkosten,0.0,44,0.2,0.0
btw percentage,0.0,51,0.3,0.0
btw percentage 2025,0.0,51,0.3,0.0
btw percentage belgie,0.0,36,0.1,0.0
btw percentage duitsland,0.0,37,0.1,0.0
btw plichtig,0.0,57,0.4,0.0
btw plichtig of niet,0.0,57,0.4,0.0
btw polen,0.0,51,0.3,0.0
btw portugal,0.0,44,0.2,0.0
btw privégebruik auto 2024,0.0,44,0.2,0.0
btw q2,0.0,51,0.3,0.0
btw q2 2025,0.0,58,0.4,0.0
btw q3,0.0,51,0.3,0.0
btw quest legion,0.0,30,0.0,0.0
btw quests,0.0,30,0.0,0.0
btw quests addon,0.0,30,0.0,0.0
btw quick fixes,0.0,36,0.1,0.0
btw quiz,0.0,30,0.0,0.0
btw r/c,0.0,30,0.0,0.0
btw recreatiewoning,0.0,37,0.1,0.0
btw registratienummer,0.0,69,0.556,0.0
btw reiskosten,0.0,37,0.1,0.0
btw rekenmachine,0.0,37,0.1,0.0
btw relatiegeschenken,0.0,50,0.3,0.0
btw representatiekosten,0.0,51,0.3,0.0
btw restaurant,0.0,44,0.2,0.0
btw richtlijn,0.0,49,0.3,0.0
btw schilder,0.0,44,0.2,0.0
btw schilderwerk,0.0,44,0.2,0.0
btw schilderwerk zakelijk,0.0,44,0.2,0.0
btw schoonmaak,0.0,51,0.3,0.0
btw servicekosten 2025,0.0,30,0.0,0.0
btw sligro,0.0,30,0.0,0.0
btw spanje,0.0,37,0.1,0.0
btw sportschool,0.0,44,0.2,0.0
btw stucadoor,0.0,44,0.2,0.0
btw suppletie,0.0,44,0.2,0.0
btw tarief,0.0,51,0.3,0.0
btw tarief belgie,0.0,36,0.1,0.0
btw tarief duitsland,0.0,37,0.1,0.0
btw tarief schilder,0.0,44,0.2,0.0
btw tarieven 2025,0.0,51,0.3,0.0
btw teruggave thuisbatterij,0.0,37,0.1,0.0
btw terugrekenen,0.0,37,0.1,0.0
btw terugvragen,0.0,58,0.4,0.0
btw terugvragen buitenland,0.0,58,0.4,0.0
btw treinkaartje,0.0,44,0.2,0.0
btw uber,0.0,36,0.1,0.0
btw uit bedrag halen,0.0,37,0.1,0.0
btw uit een bedrag halen,0.0,37,0.1,0.0
btw uit eten,0.0,44,0.2,0.0
btw uitleg,0.0,46,0.222,0.0
btw uitstel aanvragen,0.0,49,0.2,0.1
btw uitvoeringsverordening,0.0,42,0.2,0.0
btw uk,0.0,44,0.2,0.0
btw usa,0.0,53,0.333,0.0
btw vakantiewoning,0.0,44,0.2,0.0
btw verhoging,0.0,51,0.3,0.0
btw verhoging hotels,0.0,46,0.222,0.0
btw verhoging recreatie,0.0,44,0.2,0.0
btw verhuur vakantiewoning 2025,0.0,44,0.2,0.0
btw verlegd betekenis,0.0,50,0.3,0.0
