keyword,trends_volume_index_12m,serp_competition_score_0_100,strong_domain_share,vertical_competitor_share
zakelijke lening,55.08,78,0.4,0.4
zakelijke lening rente,7.15,78,0.4,0.4
kredietlijn,0.0,35,0.0,0.1
werkkapitaal,30.61,67,0.444,0.111
btw berekenen,66.11,50,0.286,0.0
actuele rente zakelijke lening,0.0,82,0.6,0.2
actuele rente zakelijke lening rabobank,0.0,100,1.0,0.0
beobank kredietlijn verhogen,0.38,30,0.0,0.0
blue water factoring,0.0,30,0.0,0.0
blue water factoring company,0.0,30,0.0,0.0
btw aangifte,23.36,77,0.667,0.0
btw aangifte 2025,4.02,72,0.6,0.0
btw aangifte 2e kwartaal 2025,1.54,65,0.5,0.0
btw aangifte belastingdienst,20.09,88,0.833,0.0
btw aangifte data,0.47,77,0.6,0.1
btw aangifte doen,22.27,65,0.5,0.0
btw aangifte ondernemers,13.77,84,0.778,0.0
btw afkorting,9.83,40,0.15,0.0
btw auto,29.59,44,0.2,0.0
btw auto kopen,3.63,44,0.2,0.0
btw belasting,33.4,74,0.625,0.0
btw belgie,56.59,46,0.25,0.0
btw bereken,44.28,50,0.286,0.0
btw berekenen 9,0.45,40,0.15,0.0
btw berekenen formule,6.09,50,0.3,0.0
btw betalen,36.94,65,0.5,0.0
btw betekenis,55.24,40,0.15,0.0
btw boeken,4.0,44,0.2,0.0
btw buitenland terugvragen,1.13,51,0.3,0.0
btw calculator,10.36,37,0.1,0.0
btw carrouselfraude,0.74,44,0.222,0.0
btw centrale,2.29,38,0.111,0.0
btw check,57.21,64,0.5,0.0
btw check nederland,0.38,71,0.6,0.0
btw code,30.11,69,0.556,0.0
btw compensatie huur,0.38,37,0.1,0.0
btw compensatiefonds,0.74,37,0.105,0.0
btw correctie auto,3.99,44,0.2,0.0
btw correctie youngtimer,0.0,37,0.1,0.0
btw hoe werkt het,0.79,61,0.444,0.0
btw hoedanigheid,0.76,44,0.2,0.0
btw hoefsmid,0.38,37,0.1,0.0
btw hoeveel procent,19.38,51,0.3,0.0
btw nummer,68.23,72,0.6,0.0
btw nummer controleren,46.31,68,0.55,0.0
btw nummer opzoeken,57.32,72,0.6,0.0
btw verlegd,52.02,52,0.333,0.0
btw vies check,42.05,57,0.4,0.0
btw wat betekent dat,0.38,46,0.222,0.0
btw wat is dat,1.19,44,0.2,0.0
btw water,2.28,44,0.2,0.0
btw water 2025,0.38,44,0.2,0.0
btw water belgie,0.0,36,0.1,0.0
btw water softener,0.69,38,0.111,0.0
aangifte omzetbelasting q2,0.0,69,0.556,0.0
aangifte omzetbelasting q3,1.41,58,0.4,0.0
aangifte omzetbelasting q4 2024,0.67,70,0.5,0.1
aangifte omzetbelasting wat is dat,0.38,58,0.4,0.0
